Пункт ТУ;Метод;Процедура;Параметры;Воздействие/доказательство;Возможности оборудования;Допуск/критерий;Текущий статус
1.1.4.1 (потенциометрические);5.6;yalk.read_calibration + yalk.check_channels;не менее 60 каналов, диапазон 0…6,2 В;текущий тракт проверяет 80 рабочих адресов в точках 0/3,1/6,2 В через ИСД и В7;stand.switch_matrix + measure.reference_voltage + ulk.parameter_source;диапазон и погрешность совместно с 1.1.4.14;реализовано, требуется контрольный полный прогон на стенде
1.1.4.1 (контактные);5.6;yalk.check_channels;не менее 30 каналов;текущий тракт проверяет 80 рабочих адресов напряжением 0/0,9/2,5 В;stand.switch_matrix + measure.reference_voltage + ulk.parameter_source;0/0,9 В -> 0, 2,5 В -> 1, границы ТУ: 0 <=1,0 В, 1 >=2,4 В;реализовано, требуется контрольный полный прогон на стенде
1.1.4.1 (термосопротивления);5.6;ytp.start_stream + ytp.read_calibration + ytp.check_channels;не менее 30 каналов, 0…240 Ом, четырёхпроводная схема;текущий runtime использует 30 каналов и ручной Р4831 с точками 0/120/240 Ом;operator.manual_input + ulk.parameter_source;диапазон 0…240 Ом, погрешность совместно с 1.1.4.14;частично подтверждено: программный тракт реализован, выбор контрольных точек не объявляется требованием ТУ и должен подтверждаться рабочей методикой
1.1.4.1 (пьезоэлектрические);5.6;ubsi.yvp;не менее 16 каналов, 2…2000 Гц;текущий подтверждённый сценарий ЯВП-8 содержит 8 каналов;signal.generator + stand.switch_matrix + measure.reference_ac_voltage + measure.reference_frequency;должно быть подтверждено не менее 16 каналов;БЛОКИРУЮЩИЙ GAP: текущий тракт покрывает 8 каналов, способ закрытия оставшихся каналов не подтверждён
1.1.4.2;5.6;нет подтверждённой процедуры;питание датчиков 6,2 ±0,2 В до 350 мА, токовая защита от 450 мА с автоматическим восстановлением;в current run отдельное достоверное воздействие/измерение не выполняется;текущий подтверждённый набор оборудования не даёт доказанного поканального/выходного тракта для этой проверки;автоматический нормативный verdict запрещён;БЛОКИРУЮЩИЙ GAP: пункт прямо входит в 5.6 и не может подменяться общим током УБСИ по 1.1.4.5
1.1.4.3;5.6;ubsi.supply_range;работа 24…35 В, 19 В не менее 5 мин, 37 В не менее 1 мин;АКИП задаёт 24/27/35 В и survival 19/37 В, затем контролируется восстановление;power.dc_supply + ulk.parameter_source;работоспособность в заданных режимах;реализовано, требуется контрольный полный прогон на стенде
1.1.4.5;5.6;ubsi.supply_range;общий ток УБСИ;измерение тока источником на 24/27/35 В;power.dc_supply;не более 0,4 А;реализовано, аппаратная защитная уставка 0,6 А отделена от нормативного критерия 0,4 А
1.1.4.6;5.6;ubsi.tu_scope_gate;линия «термодатчик – УБСИ» длиной до 50 м;предоставленный текст 5.6 не раскрывает отдельный способ доказательства длины/эквивалента линии;нет подтверждённого hardware evidence;автоматический нормативный verdict запрещён;БЛОКИРУЮЩИЙ GAP: пункт прямо входит в scope 5.6, исключать его из acceptance нельзя
1.1.4.7;5.6;ubsi.yvp;АЧХ пьезоэлектрических цепей и затухание;Rigol + ИСД + измерение В7 по подтверждённому ЯВП-тракту;signal.generator + stand.switch_matrix + measure.reference_ac_voltage + measure.reference_frequency;±10/±5/±10 % по зонам, затухание не менее 20–30 дБ на 2Fв и выше;backend/математика имеются, физический scope остаётся связан с блокирующим требованием не менее 16 пьезоканалов
1.1.4.8;5.6;ubsi.yvp;коэффициенты усиления 0,25/0,5/1/2/4/8/32 мВ/пКл, выбор внешней кроссировкой;Rigol + коммутация ИСД;signal.generator + stand.switch_matrix + measure.reference_ac_voltage;проверка всего указанного ряда;backend/математика имеются, физический scope остаётся связан с блокирующим требованием не менее 16 пьезоканалов
1.1.4.9;5.6;ubsi.reference_voltage;эталонное напряжение;В7 + телеметрическое значение через подтверждённый binding;measure.reference_voltage + ulk.parameter_source;6,20 ±0,03 В и выдача значения в выходной поток;В7-проверка реализована, телеметрический binding должен быть подтверждён на стенде
1.1.4.10;5.6;yalk.check_initial_state;обрыв любого функционального аналогового входа;отключённые рабочие входы ЯЛК;stand.switch_matrix + ulk.parameter_source;идентификация обрыва напряжением ниже 0 В;реализовано для текущей карты рабочих адресов, требуется контрольный полный прогон
1.1.4.11;5.6;yalk.check_overload;перегрузка входа ±12 В с контролем остальных входов;последовательная перегрузка только подтверждённых ЯЛК-линий с baseline остальных адресов;stand.switch_matrix + ulk.parameter_source;остальные входы сохраняют работоспособность;реализовано, запрещено использовать линии 29–31/44/71–73/88 как ЯЛК в этом тесте, требуется bench regression
1.1.4.13;5.6;ubsi.readiness;готовность после подачи питания;холодное включение и ожидание появления достоверного потока;power.dc_supply + ulk.parameter_source;не более 30 с;реализовано, требуется контрольный полный прогон
1.1.4.14 (медленные аналоговые);5.6;yalk.read_calibration + yalk.check_channels;погрешность от шкалы;В7 как независимый эталон + калибровочные уровни;measure.reference_voltage + ulk.parameter_source;±0,5 % в нормальных условиях;реализовано, требуется bench regression
1.1.4.14 (температурные);5.6;ytp.read_calibration + ytp.check_channels;погрешность температурных параметров;ручной Р4831 + данные ЯТП;operator.manual_input + ulk.parameter_source;±0,5 %;программный тракт реализован, физическая методика/контрольные точки должны быть подтверждены
1.1.4.14 (быстроменяющиеся);5.6;ubsi.yvp;погрешность быстроменяющихся параметров;Rigol + ИСД + В7;signal.generator + stand.switch_matrix + measure.reference_ac_voltage + measure.reference_frequency;±7 %;backend имеется, полный нормативный scope блокируется неподтверждёнными оставшимися пьезоканалами
1.1.4.14 (входной ток);5.6;ubsi.tu_scope_gate;входной ток каналов измерения;отдельное достоверное измерение в current run отсутствует;подтверждённого measurement path нет;не более 2 мкА;БЛОКИРУЮЩИЙ GAP: общий ток УБСИ не является доказательством входного тока канала
1.1.4.4;5.5;отдельная методика 5.5;разобщённость цепей питания от корпуса;не относится к сценарию 5.6;В7-78/1 по методу 5.5;см. 5.5;НЕ ВХОДИТ В 5.6
1.1.4.12;5.5;отдельная методика 5.5;сопротивление изоляции;измерение при 100 В по 5.5;В7-78/1;не менее 20 МОм;НЕ ВХОДИТ В 5.6
